"tweet_id","tag"
"881059551197507584","okc"
"881059551197507584","detroit"
"881059551197507584","pa"
"881059551197507584","tx"
"881059551197507584","co"
"881059551197507584","bc"
"881059551197507584","il"
"881059589856280576","संस्कृति_रक्षक_संत"
"881060921279492096","WorldNoTobaccoDay"
"881061521383727104","todayilearne"
"881065109312782337","संस्कृति_रक्षक_संत"
"881065810470604800","संस्कृति_रक्षक_संत"
"881068279296643073","संस्कृति_रक्षक_संत"
"881070365811720193","संस्कृति_रक्षक_संत"
"881074321942171648","addiction"
"881074321942171648","Sobriety"
"881075257024663552","Xanax"
"881075257024663552","Addiction"
"881075433462259712","WorldNoTobaccoDay"
"881077174308139008","WorldNoTobaccoDay"
"881077474184093696","संस्कृति_रक्षक_संत"
"881077582975860738","संस्कृति_रक्षक_संत"
"881077975013261312","Augmented"
"881077975013261312","Business"
"881077975013261312","Customer"
"881077975013261312","Forrester"
"881078129279852546","Augmented"
"881078129279852546","Business"
"881078129279852546","Customer"
"881078129279852546","Forrester"
"881079290313359360","WorldNoTobaccoDay"
"881079474829316096","संस्कृति_रक्षक_संत"
"881079545083944961","WorldNoTobaccoDay"
"881080824640270336","addiction"
"881080824640270336","Sobriety"
"881081551806660609","संस्कृति_रक्षक_संत"
"881082577213378560","WorldNoTobaccoDay"
"881084287038222336","संस्कृति_रक्षक_संत"
"881084897464471552","संस्कृति_रक्षक_संत"
"881084897464471552","Asaram"
"881086202920615936","संस्कृति_रक्षक_संत"
"881086204334264320","संस्कृति_रक्षक_संत"
"881086458559315969","संस्कृति_रक्षक_संत"
"881087349240733696","Iran"
"881088790604939264","संस्कृति_रक्षक_संत"
"881089278335438849","संस्कृति_रक्षक_संत"
"881090031967973380","essayhelp"
"881090679446884356","uncategorized"
"881091064035237888","Amphetamine"
"881091064035237888","Addiction"
"881091119328702464","VirtualReality"
"881091146046242816","WorldNoTobaccoDay"
"881091176962674688","संस्कृति_रक्षक_संत"
"881092528799395840","संस्कृति_रक्षक_संत"
"881092565377929216","Amphetamine"
"881092565377929216","Addiction"
"881092730541277184","संस्कृति_रक्षक_संत"
"881093781931646977","संस्कृति_रक्षक_संत"
"881096690907918336","संस्कृति_रक्षक_संत"
"881099047473364993","WorldNoTobaccoDay"
"881099870374776832","WorldNoTobaccoDay"
"881100600691359744","WorldNoTobaccoDay"
"881100765196058624","drugs"
"881100765196058624","maryjane"
"881100765196058624","drugaddiction"
"881100765196058624","jail"
"881100765196058624","prison"
"881100765196058624","addiction"
"881100905919139840","संस्कृति_रक्षक_संत"
"881101202657648640","WorldNoTobaccoDay"
"881102012959641603","संस्कृति_रक्षक_संत"
"881104071763128321","WorldNoTobaccoDay"
"881105171845062657","संस्कृति_रक्षक_संत"
"881105205345087488","ACE"
"881105205345087488","ruralhealth"
"881106767085797376","संस्कृति_रक्षक_संत"
"881107675337166848","संस्कृति_रक्षक_संत"
"881108203618025473","संस्कृति_रक्षक_संत"
"881111158387855360","WorldNoTobaccoDay"
"881111199672184832","WorldNoTobaccoDay"
"881112054811115520","WorldNoTobaccoDay"
"881112903306190848","संस्कृति_रक्षक_संत"
"881113446586175489","संस्कृति_रक्षक_संत"
"881113503096066049","संस्कृति_रक्षक_संत"
"881114435468771328","WorldNoTobaccoDay"
"881114630046789632","संस्कृति_रक्षक_संत"
"881115183413944320","Funding"
"881115183413944320","VR"
"881116845260120064","संस्कृति_रक्षक_संत"
"881117461004898306","WorldNoTobaccoDay"
"881117922600644608","संस्कृति_रक्षक_संत"
"881118073696268289","संस्कृति_रक्षक_संत"
"881120340847603712","addiction"
"881120340847603712","AspenIdeas"
"881120340847603712","SpotlightHealth"
"881120343599054848","addiction"
"881120343599054848","AspenIdeas"
"881120343599054848","SpotlightHealth"
"881122156482101249","WorldNoTobaccoDay"
"881122926631759872","संस्कृति_रक्षक_संत"
"881123573376708608","संस्कृति_रक्षक_संत"
"881123947772878848","संस्कृति_रक्षक_संत"
"881124403173576704","epidemic"
"881125661980721152","AgendaLD"
"881126771889913856","opioidcrisis"
"881129015830073345","WorldNoTobaccoDay"
"881131375071547394","संस्कृति_रक्षक_संत"
"881132084965912577","Funding"
"881133256732811265","WorldNoTobaccoDay"
"881135452899692545","WorldNoTobaccoDay"
"881137007908368384","संस्कृति_रक्षक_संत"
"881137119539994625","संस्कृति_रक्षक_संत"
"881137806009028608","संस्कृति_रक्षक_संत"
"881139622721597441","संस्कृति_रक्षक_संत"
"881141410388258816","संस्कृति_रक्षक_संत"
"881142790918467585","WorldNoTobaccoDay"
"881144767316283392","संस्कृति_रक्षक_संत"
"881146611359002624","WorldNoTobaccoDay"
"881147040721289216","संस्कृति_रक्षक_संत"
"881147463050170368","संस्कृति_रक्षक_संत"
"881148005553905664","संस्कृति_रक्षक_संत"
"881148511449894913","WorldNoTobaccoDay"
"881148697890959361","संस्कृति_रक्षक_संत"
"881149111185047553","DimpleVerse"
"881150385070714880","संस्कृति_रक्षक_संत"
"881151360359649283","moonbeamdev"
"881152311921389568","WorldNoTobaccoDay"
"881154287170146308","itsokaytonotbeokay"
"881154287170146308","mentalhealth"
"881154287170146308","anxiety"
"881154287170146308","depression"
"881154287170146308","stillfighting"
"881154287170146308","recove"
"881154301237891072","itsokaytonotbeokay"
"881154301237891072","mentalhealth"
"881154301237891072","anxiety"
"881154301237891072","depression"
"881154301237891072","stillfighting"
"881154301237891072","recove"
"881154698279047169","WorldNoTobaccoDay"
"881155913666711557","संस्कृति_रक्षक_संत"
"881156705735847937","WorldNoTobaccoDay"
"881157459548790784","WorldNoTobaccoDay"
"881157705527836674","संस्कृति_रक्षक_संत"
"881158045379768320","संस्कृति_रक्षक_संत"
"881158200673914881","NCADDInTheNews"
"881159567417192448","addiction"
"881159567417192448","rehab"
"881159571296985088","संस्कृति_रक्षक_संत"
"881159958032678912","संस्कृति_रक्षक_संत"
"881160121535148032","NCADDInTheNews"
"881160160554754048","संस्कृति_रक्षक_संत"
"881163331326795776","संस्कृति_रक्षक_संत"
"881163858915713025","संस्कृति_रक्षक_संत"
"881163917757743104","संस्कृति_रक्षक_संत"
"881164843545280513","संस्कृति_रक्षक_संत"
"881165028736610304","संस्कृति_रक्षक_संत"
"881167311406628866","WorldNoTobaccoDay"
"881167865881153536","संस्कृति_रक्षक_संत"
"881167902673698816","CIGAR"
"881168758089302016","संस्कृति_रक्षक_संत"
"881168777731231744","संस्कृति_रक्षक_संत"
"881169163653226497","संस्कृति_रक्षक_संत"
"881169736180150272","संस्कृति_रक्षक_संत"
"881171856581152768","संस्कृति_रक्षक_संत"
"881173102050390017","AR"
"881173159457636357","संस्कृति_रक्षक_संत"
"881173468837928961","JustSayin"
"881173600006438912","संस्कृति_रक्षक_संत"
"881173627164663808","संस्कृति_रक्षक_संत"
"881173754428223488","संस्कृति_रक्षक_संत"
"881173778256060417","संस्कृति_रक्षक_संत"
"881174482592903168","संस्कृति_रक्षक_संत"
"881174727565377536","WalkForLifePH"
"881174826572029958","staywoke"
"881175141811671041","संस्कृति_रक्षक_संत"
"881175273474932737","संस्कृति_रक्षक_संत"
